TARGET_LifeExpectancy,Year,Status,AdultMortality,Alcohol,BMI,Under5LS,Polio,TotalExpenditure,Diphtheria,HIV-AIDS,GDP,Population,Thinness1-19years,IncomeCompositionOfResources,Schooling
67.1,2017,0,263.0,0.01,19.1,83.0,6.0,8.16,65.0,0.1,654.37,33736494.0,17.2,0.479,3.178049716
59.8,2016,0,271.0,0.01,18.6,86.0,58.0,8.18,62.0,0.1,686.22,327582.0,17.5,0.476,3.16227766
57.6,2015,0,268.0,0.01,18.1,89.0,62.0,8.13,64.0,0.1,707.55,31731688.0,17.7,0.47,3.146426545
55.5,2014,0,272.0,0.01,17.6,93.0,67.0,8.52,67.0,0.1,750.35,3696958.0,17.9,0.463,3.130495168
57.7,2013,0,275.0,0.01,17.2,97.0,68.0,7.87,68.0,0.1,71.16,2978599.0,18.2,0.454,3.082207001
58.9,2012,0,279.0,0.01,16.7,102.0,66.0,9.2,66.0,0.1,619.73,2883167.0,18.4,0.448,3.033150178
57.5,2011,0,281.0,0.01,16.2,106.0,63.0,9.42,63.0,0.1,499.4,284331.0,18.6,0.434,2.983286778
57.0,2010,0,287.0,0.03,15.7,110.0,64.0,8.33,64.0,0.1,418.16,2729431.0,18.8,0.433,2.949576241
63.0,2009,0,295.0,0.02,42.1,113.0,63.0,6.73,63.0,0.1,414.22,26616792.0,19.0,0.415,2.898275349
54.1,2008,0,295.0,0.03,14.7,116.0,58.0,7.43,58.0,0.1,305.27,2589345.0,19.2,0.405,2.846049894
54.5,2007,0,291.0,0.02,14.2,118.0,58.0,8.7,58.0,0.1,28.33,257798.0,19.3,0.396,2.810693865
58.5,2006,0,293.0,0.02,13.8,120.0,5.0,8.79,5.0,0.1,245.44,24118979.0,19.5,0.381,2.607680962
53.9,2005,0,295.0,0.01,13.4,4.0,41.0,8.82,41.0,0.1,222.58,2364851.0,19.7,0.6555,2.549509757
58.4,2004,0,3.0,0.01,13.0,122.0,36.0,7.76,36.0,0.1,210.39,21979923.0,19.9,0.341,2.48997992
55.2,2003,0,316.0,0.01,12.6,122.0,35.0,7.8,33.0,0.1,131.6,2966463.0,2.1,0.34,2.42899156
56.2,2002,0,321.0,0.01,12.2,122.0,24.0,8.2,24.0,0.1,128.31,293756.0,2.3,0.338,2.34520788
73.2,2017,0,74.0,4.6,58.0,0.0,99.0,6.0,99.0,0.1,4428.74,28873.0,1.2,0.762,3.768288736
78.7,2016,0,8.0,4.51,57.2,1.0,98.0,5.88,98.0,0.1,5124.86,288914.0,1.2,0.761,3.768288736
75.0,2015,0,84.0,4.76,56.5,1.0,99.0,5.66,99.0,0.1,4944.49,289592.0,1.3,0.759,3.768288736
80.6,2014,0,86.0,5.14,55.8,1.0,99.0,5.59,99.0,0.1,4757.33,2941.0,1.3,0.752,3.768288736
75.3,2013,0,88.0,5.37,55.1,1.0,99.0,5.71,99.0,0.1,4969.64,295195.0,1.4,0.738,3.646916506
75.4,2012,0,91.0,5.28,54.3,1.0,99.0,5.34,99.0,0.1,553.68,291321.0,1.4,0.725,3.535533906
74.5,2011,0,91.0,5.79,53.5,1.0,98.0,5.79,98.0,0.1,1390.315,2927519.0,1.5,0.721,3.492849839
73.8,2010,0,1.0,5.61,52.6,1.0,99.0,5.87,99.0,0.1,490.04,2947314.0,1.6,0.713,3.464101615
76.5,2009,0,9.0,5.58,51.7,1.0,99.0,6.1,98.0,0.1,406.71,29717.0,1.6,0.703,3.405877273
74.6,2008,0,99.0,5.31,5.8,1.0,97.0,5.86,97.0,0.1,39.34,2992547.0,1.7,0.696,3.376388603
72.9,2007,0,15.0,5.16,49.9,1.0,97.0,6.12,98.0,0.1,312.64,311487.0,1.8,0.685,3.286335345
75.0,2006,0,17.0,4.54,48.9,1.0,98.0,6.38,97.0,0.1,2706.58,326939.0,1.8,0.681,3.301514804
75.8,2005,0,18.0,4.29,47.9,1.0,97.0,6.27,97.0,0.1,212.44,647744.0,1.9,0.674,3.271085447
74.9,2004,0,15.0,3.73,42.1,1.0,98.0,6.3,98.0,0.1,1628.08,3511.0,2.0,0.67,3.271085447
69.8,2003,0,14.0,4.25,46.0,1.0,97.0,6.0,97.0,0.1,1486.21,36173.0,2.1,0.662,3.255764119
72.4,2002,0,11.0,3.66,45.0,1.0,97.0,6.26,97.0,0.1,1316.88,38927.0,2.1,0.656,3.271085447
72.7,2017,0,19.0,0.45,59.5,24.0,95.0,3.84,95.0,0.1,4628.69,39871528.0,6.0,0.743,3.794733192
75.3,2016,0,11.0,0.01,58.4,24.0,95.0,7.21,95.0,0.1,613.59,39113313.0,6.0,0.741,3.794733192
76.0,2015,0,112.0,0.53,57.2,24.0,95.0,7.12,95.0,0.1,6128.49,38338562.0,5.9,0.737,3.794733192
75.3,2014,0,113.0,0.66,56.1,24.0,95.0,6.14,95.0,0.1,6232.6,37565847.0,5.9,0.732,3.794733192
75.4,2013,0,116.0,0.56,55.0,24.0,95.0,5.29,95.0,0.1,6084.12,36819558.0,5.9,0.724,3.741657387
76.9,2012,0,119.0,0.45,53.9,24.0,95.0,5.12,95.0,0.1,4999.0,647744.0,5.9,0.714,3.687817783
74.5,2011,0,123.0,0.5,52.8,23.0,94.0,5.36,95.0,0.1,4333.09,3546576.0,6.0,0.705,3.619392214
73.7,2010,0,126.0,0.46,51.8,23.0,92.0,4.2,93.0,0.1,554.69,3486715.0,6.0,0.697,3.54964787
74.6,2009,0,129.0,0.44,5.8,23.0,95.0,3.82,95.0,0.1,4407.41,34376.0,6.0,0.69,3.507135583
73.9,2008,0,132.0,0.36,49.8,23.0,95.0,3.36,95.0,0.1,3880.37,33777915.0,6.1,0.686,3.507135583
72.2,2007,0,136.0,0.5,48.9,22.0,88.0,3.24,88.0,0.1,34.86,33288437.0,6.1,0.68,3.464101615
71.6,2006,0,14.0,0.45,47.9,23.0,86.0,3.54,86.0,0.1,2910.86,3283196.0,6.2,0.673,3.420526275
73.3,2005,0,146.0,0.34,47.0,23.0,87.0,3.6,87.0,0.1,329.66,3243514.0,6.3,0.663,3.391164992
70.9,2004,0,145.0,0.36,46.1,23.0,86.0,3.73,86.0,0.1,1987.26,3199546.0,6.3,0.653,3.33166625
76.7,2003,0,145.0,0.23,45.3,24.0,89.0,3.84,89.0,0.1,1940.8,31592153.0,6.4,0.644,3.301514804
71.4,2002,0,145.0,0.25,44.4,25.0,86.0,3.49,86.0,0.1,1968.04,3118366.0,6.5,0.636,3.271085447
75.5,2017,0,13.0,7.84,47.7,0.0,86.0,4.53,99.0,0.2,15194.99,127445.0,3.3,0.784,3.728270376
74.3,2016,0,131.0,3.82,47.0,0.0,96.0,5.54,99.0,0.2,14434.89,127445.0,3.3,0.782,3.728270376
73.4,2015,0,133.0,8.58,46.4,0.0,98.0,5.33,99.0,0.2,13691.85,127445.0,3.3,0.781,3.728270376
77.9,2014,0,134.0,8.18,45.7,0.0,97.0,5.39,98.0,0.2,14073.3,127445.0,3.3,0.778,3.714835124
74.5,2013,0,136.0,7.84,42.1,0.0,99.0,5.65,99.0,0.1,13360.87,127445.0,3.3,0.782,3.754996671
78.8,2012,0,138.0,7.84,44.4,0.0,99.0,5.63,98.0,0.1,13582.1,127445.0,3.3,0.783,3.754996671
77.1,2011,0,14.0,7.82,43.8,0.0,98.0,4.86,99.0,0.1,1469.96,127445.0,3.4,0.788,3.768288736
74.5,2010,0,142.0,8.27,43.2,0.0,99.0,4.69,99.0,0.1,1650.12,127445.0,3.4,0.786,3.794733192
76.1,2009,0,144.0,8.64,42.6,0.0,98.0,4.27,99.0,0.1,15962.57,127445.0,3.4,0.781,3.807886553
75.4,2008,0,145.0,8.93,42.0,0.0,99.0,4.34,99.0,0.1,14251.32,127445.0,3.4,0.773,3.834057903
73.7,2007,0,147.0,8.15,41.4,0.0,98.0,4.41,99.0,0.1,12736.57,127445.0,3.5,0.0,0.0
72.3,2006,0,149.0,7.28,4.8,0.0,97.0,4.21,97.0,0.1,1515.18,127445.0,3.5,0.0,0.0
78.1,2005,0,151.0,7.16,4.1,0.0,99.0,4.53,99.0,0.1,10908.6,127445.0,3.5,0.0,0.0
73.4,2004,0,153.0,7.21,39.5,0.0,93.0,4.41,98.0,0.1,10513.12,127445.0,3.6,0.0,0.0
74.8,2003,0,154.0,7.51,38.9,0.0,99.0,4.48,97.0,0.1,10481.13,127445.0,3.6,0.0,0.0
79.0,2002,0,156.0,7.27,38.2,0.0,96.0,4.13,95.0,0.1,11060.18,127445.0,3.7,0.0,0.0
75.2,2017,0,116.0,7.93,62.8,9.0,93.0,6.68,94.0,0.1,1390.315,43417765.0,1.0,0.826,4.159326869
73.9,2016,0,118.0,7.93,62.2,9.0,92.0,4.79,94.0,0.1,13714.69,42981515.0,1.0,0.825,4.159326869
74.6,2015,0,119.0,8.28,61.6,10.0,99.0,4.99,94.0,0.1,14533.83,42539925.0,1.0,0.823,4.159326869
79.1,2014,0,12.0,8.35,61.0,10.0,99.0,5.2,91.0,0.1,14526.14,4296739.0,1.0,0.822,4.147288271
75.8,2013,0,12.0,8.11,6.4,10.0,93.0,5.89,91.0,0.1,14254.22,41656879.0,1.0,0.816,4.135214626
74.9,2012,0,121.0,8.15,59.8,11.0,95.0,6.55,94.0,0.1,1429.42,41223889.0,1.0,0.802,4.098780306
77.9,2011,0,126.0,8.33,59.2,11.0,97.0,7.63,94.0,0.1,9140.73,479947.0,1.0,0.794,4.062019202
74.3,2010,0,126.0,8.41,58.6,11.0,94.0,6.66,93.0,0.1,10027.76,4382389.0,1.0,0.792,4.037325848
74.7,2009,0,129.0,8.16,58.0,12.0,92.0,6.49,91.0,0.1,8056.85,3997224.0,1.1,0.788,4.037325848
74.4,2008,0,127.0,7.75,57.5,12.0,92.0,6.68,91.0,0.1,6584.21,3955889.0,1.1,0.782,4.01248053
